,duration,src_bytes,dst_bytes,wrong_fragment,urgent,dst_host_count,dst_host_srv_count,count,srv_count,attack_state
49947,0,0,0,0,0,255,7,137,16,1
49953,0,0,0,0,0,255,4,291,4,1
49955,0,0,0,0,0,255,62,11,8,1
49956,0,0,0,0,0,255,19,205,19,1
49961,0,0,0,0,0,172,8,118,8,1
49965,0,0,0,0,0,255,1,276,4,1
49966,0,0,0,0,0,255,19,263,19,1
49968,0,0,0,0,0,255,6,227,6,1
49974,0,0,0,0,0,255,13,236,8,1
49975,0,0,0,0,0,255,21,21,1,1
49976,0,0,0,0,0,255,14,116,14,1
49977,0,0,0,0,0,255,6,10,5,1
49982,0,0,0,0,0,255,22,100,10,1
49984,0,0,0,0,0,255,20,141,23,1
49987,0,1032,0,0,0,226,132,511,511,1
49990,0,0,0,0,0,255,9,229,9,1
49991,0,0,0,0,0,255,16,110,6,1
49997,0,0,0,0,0,255,2,250,2,1
49999,0,0,0,0,0,255,7,51,2,1
50000,0,0,0,0,0,255,21,129,21,1
50001,0,0,0,0,0,255,2,116,8,1
50007,0,0,0,0,0,89,19,139,19,1
50008,0,0,0,0,0,255,62,7,2,1
50009,0,0,0,0,0,54,34,12,12,1
50012,0,0,0,0,0,88,48,6,6,1
50014,0,0,0,0,0,255,14,145,14,1
50015,0,0,0,0,0,255,10,203,11,1
50017,0,0,0,0,0,255,59,65,19,1
50018,0,0,0,0,0,255,2,216,2,1
50021,0,0,0,0,0,255,19,298,19,1
50026,0,520,0,0,0,255,255,290,290,1
50028,0,0,0,0,0,255,11,211,11,1
50036,0,28,0,3,0,255,38,38,38,1
50039,0,0,0,0,0,255,17,288,23,1
50041,0,0,0,0,0,255,13,262,13,1
50048,0,28,0,3,0,255,153,53,53,1
50060,0,0,0,0,0,255,4,225,4,1
50061,0,0,0,0,0,255,12,283,12,1
50063,0,0,0,0,0,138,37,56,14,1
50065,0,0,0,0,0,255,3,31,3,1
50066,0,0,0,0,0,255,12,262,12,1
50067,0,0,0,0,0,255,3,138,9,1
50068,0,28,0,3,0,255,64,65,64,1
50069,0,0,0,0,0,255,5,101,2,1
50071,0,0,0,0,0,255,1,206,1,1
50077,0,0,0,0,0,255,5,211,5,1
50080,0,0,0,0,0,255,12,281,12,1
50082,0,0,0,0,0,255,11,211,11,1
50087,0,0,0,0,0,255,8,225,8,1
50089,0,0,0,0,0,37,12,134,12,1
50091,0,0,0,0,0,255,5,185,5,1
50093,0,0,0,0,0,255,10,114,10,1
50094,0,0,0,0,0,255,7,268,9,1
50098,0,0,0,0,0,255,59,76,19,1
50101,0,0,0,0,0,255,11,296,11,1
50106,0,0,0,0,0,255,4,6,2,1
50107,0,0,0,0,0,255,20,266,9,1
50110,0,0,0,0,0,255,4,70,4,1
50113,0,0,0,0,0,255,2,292,19,1
50115,0,0,0,0,0,255,1,232,1,1
50116,0,1032,0,0,0,124,30,116,116,1
50117,0,0,0,0,0,255,17,185,15,1
50118,0,0,0,0,0,255,20,276,17,1
50125,0,0,0,0,0,255,12,168,12,1
50127,0,0,0,0,0,255,20,233,20,1
50135,0,0,0,0,0,156,18,101,18,1
50136,0,0,0,0,0,255,15,207,15,1
50138,0,0,0,0,0,255,19,85,1,1
50140,0,0,0,0,0,255,3,258,3,1
50142,0,0,0,0,0,255,8,276,2,1
50147,0,0,0,0,0,255,3,126,3,1
50148,0,0,0,0,0,255,17,110,1,1
50150,0,0,0,0,0,255,14,132,11,1
50153,0,0,0,0,0,255,1,190,1,1
50154,0,0,0,0,0,143,4,92,4,1
50156,0,0,0,0,0,255,29,37,10,1
50158,0,0,0,0,0,255,8,241,8,1
50160,0,0,0,0,0,255,21,48,19,1
50161,0,28,0,3,0,255,88,188,88,1
50162,0,0,0,0,0,255,3,227,3,1
50164,0,0,0,0,0,255,1,114,1,1
50166,0,0,0,0,0,255,8,256,7,1
50167,0,0,0,0,0,255,4,233,3,1
50171,0,0,0,0,0,255,19,229,19,1
50175,0,40636,2920,0,0,255,255,4,5,1
50176,0,0,0,0,0,255,8,231,8,1
50177,0,0,0,0,0,255,20,300,20,1
50178,0,0,0,0,0,255,18,260,18,1
50181,0,0,0,0,0,255,20,209,20,1
50183,0,0,0,0,0,255,17,296,17,1
50188,0,0,0,0,0,255,2,224,2,1
50190,0,1032,0,0,0,204,110,511,511,1
50192,0,0,0,0,0,255,7,238,7,1
50194,0,0,0,0,0,41,6,132,15,1
50196,0,1032,0,0,0,255,255,278,278,1
50197,0,0,0,0,0,255,6,201,6,1
50198,0,0,0,0,0,255,5,212,5,1
50201,0,0,0,0,0,255,15,141,15,1
50202,0,0,0,0,0,255,14,16,3,1
50205,0,0,0,0,0,255,20,217,1,1
50207,0,0,0,0,0,255,19,123,1,1
50208,0,54540,8314,0,0,20,20,2,3,1
50210,0,0,0,0,0,255,22,107,22,1
50211,0,0,0,0,0,255,20,204,20,1
50213,0,0,0,0,0,255,18,212,3,1
50215,0,0,0,0,0,255,7,237,14,1
50217,0,0,0,0,0,255,16,262,16,1
50221,0,0,0,0,0,255,22,252,22,1
50224,0,0,0,0,0,255,9,125,9,1
50229,0,1032,0,0,0,255,178,511,511,1
50230,0,0,0,0,0,255,10,210,9,1
50233,0,0,0,0,0,255,5,169,5,1
50234,0,0,0,0,0,255,12,268,12,1
50236,0,0,0,0,0,255,11,109,9,1
50237,0,0,0,0,0,255,58,52,12,1
50243,0,0,0,0,0,255,21,262,21,1
50244,0,0,0,0,0,255,12,145,12,1
50249,0,0,0,0,0,255,10,16,1,1
50253,0,0,0,0,0,255,12,136,12,1
50254,0,0,0,0,0,255,14,269,14,1
50256,0,0,0,0,0,255,4,133,4,1
50261,0,0,0,0,0,255,5,291,16,1
50266,0,0,0,0,0,255,6,270,6,1
50267,0,0,0,0,0,255,16,237,20,1
50269,0,0,0,0,0,255,2,102,2,1
50270,0,0,0,0,0,255,14,143,13,1
50275,0,54540,8314,0,0,117,117,1,1,1
50279,0,0,0,0,0,255,15,106,15,1
50280,0,0,0,0,0,255,46,53,12,1
50284,0,0,0,0,0,255,14,282,16,1
50287,0,0,0,0,0,255,3,117,18,1
50288,0,0,0,0,0,255,25,120,5,1
50291,0,54540,8314,0,0,190,190,2,3,1
50293,0,0,0,0,0,255,2,235,2,1
50297,0,0,0,0,0,255,16,278,10,1
50299,0,0,0,0,0,255,1,99,1,1
50301,0,0,0,0,0,255,18,24,4,1
50302,0,0,0,0,0,255,6,285,15,1
50304,0,0,0,0,0,255,22,284,22,1
50306,0,1032,0,0,0,255,65,511,511,1
50310,0,1032,0,0,0,255,9,511,511,1
50312,0,0,0,0,0,255,13,108,11,1
50314,0,0,0,0,0,255,1,87,1,1
50315,0,0,0,0,0,255,5,237,6,1
50316,0,0,0,0,0,255,7,171,7,1
50317,0,0,0,0,0,255,6,230,6,1
50319,0,0,0,0,0,255,4,130,4,1
50320,0,0,0,0,0,255,16,215,16,1
50323,0,0,0,0,0,255,16,231,16,1
50324,0,0,0,0,0,255,4,281,4,1
50326,0,520,0,0,0,255,255,147,147,1
50327,0,0,0,0,0,255,3,134,6,1
50330,0,0,0,0,0,255,7,281,7,1
50333,0,0,0,0,0,255,4,217,4,1
50336,0,0,0,0,0,255,6,130,10,1
50343,0,0,0,0,0,255,8,133,7,1
50345,0,0,0,0,0,255,8,246,15,1
50347,0,0,0,0,0,255,19,271,19,1
50349,0,0,0,0,0,255,9,144,16,1
50351,0,0,0,0,0,255,3,239,3,1
50354,0,1032,0,0,0,255,255,497,497,1
50355,0,0,0,0,0,255,3,84,3,1
50356,0,0,0,0,0,7,7,106,7,1
50358,0,0,0,0,0,255,8,109,8,1
50363,0,0,0,0,0,255,14,218,6,1
50364,0,0,0,0,0,242,19,284,19,1
50365,0,0,0,0,0,255,2,130,2,1
50374,0,0,0,0,0,255,12,199,12,1
50375,0,0,0,0,0,255,16,218,16,1
50378,0,0,0,0,0,255,3,208,5,1
50382,0,28,0,3,0,102,30,30,30,1
50384,0,0,0,0,0,255,63,20,3,1
50385,0,0,0,0,0,255,14,149,14,1
50386,0,0,0,0,0,255,14,228,14,1
50394,0,0,0,0,0,255,5,53,5,1
50396,0,0,0,0,0,255,18,101,1,1
50397,0,0,0,0,0,255,1,211,1,1
50398,0,0,0,0,0,255,3,252,3,1
50401,0,0,0,0,0,255,5,9,4,1
50405,0,0,0,0,0,255,22,8,1,1
50408,0,0,0,0,0,255,19,281,12,1
50409,0,0,0,0,0,255,24,296,24,1
50410,0,0,0,0,0,255,13,216,13,1
50417,0,0,0,0,0,255,19,203,19,1
50418,0,0,0,0,0,255,8,138,14,1
50419,0,28,0,3,0,255,5,38,38,1
50422,0,0,0,0,0,255,7,298,8,1
50424,0,0,0,0,0,255,7,109,7,1
50425,0,0,0,0,0,255,4,253,9,1
50426,0,54540,8314,0,0,211,211,2,2,1
50427,0,0,0,0,0,255,18,214,3,1
50429,0,0,0,0,0,255,16,121,16,1
50431,0,0,0,0,0,255,20,149,20,1
50434,0,0,0,0,0,255,22,248,22,1
50436,0,0,0,0,0,255,18,234,18,1
50437,0,0,0,0,0,255,13,217,9,1
50441,0,0,0,0,0,255,15,128,13,1
50442,0,0,0,0,0,255,11,27,1,1
50443,0,0,0,0,0,255,15,229,15,1
50444,0,0,0,0,0,255,58,29,7,1
50446,0,0,0,0,0,255,10,116,10,1
50456,0,0,0,0,0,255,7,292,14,1
50461,0,0,0,0,0,255,14,210,14,1
50463,0,53452,2920,0,0,255,255,3,3,1
50465,0,0,0,0,0,255,16,219,5,1
50466,0,0,0,0,0,255,5,268,8,1
50467,0,0,0,0,0,255,19,249,19,1
50470,0,0,0,0,0,255,8,151,8,1
50473,0,0,0,0,0,255,8,108,8,1
50479,0,0,0,0,0,255,17,186,8,1
50480,0,0,0,0,0,255,22,266,22,1
50484,0,0,0,0,0,255,7,206,12,1
50485,0,0,0,0,0,255,67,20,10,1
50487,0,0,0,0,0,255,3,224,3,1
50489,0,0,0,0,0,255,1,101,1,1
50491,0,0,0,0,0,255,2,124,2,1
50496,0,0,0,0,0,255,3,133,4,1
50497,0,0,0,0,0,255,22,211,22,1
50499,0,520,0,0,0,255,255,279,279,1
50500,0,520,0,0,0,255,255,400,400,1
50502,0,0,0,0,0,255,19,268,19,1
50503,0,0,0,0,0,255,1,258,16,1
50505,0,0,0,0,0,255,5,261,3,1
50508,0,0,0,0,0,102,62,20,20,1
50509,0,0,0,0,0,255,66,8,3,1
50511,0,0,0,0,0,188,3,247,3,1
50513,0,0,0,0,0,255,5,268,5,1
50514,0,1032,0,0,0,255,152,511,511,1
50517,0,0,0,0,0,255,6,275,15,1
50521,0,0,0,0,0,255,64,4,4,1
50523,0,0,0,0,0,255,6,146,16,1
50524,0,28,0,3,0,255,4,37,37,1
50525,0,0,0,0,0,255,25,273,25,1
50530,0,0,0,0,0,255,20,209,6,1
50532,0,0,0,0,0,255,19,126,19,1
50535,0,1032,0,0,0,255,213,511,511,1
50536,0,0,0,0,0,255,14,264,15,1
50538,0,0,0,0,0,80,11,220,11,1
50541,0,0,0,0,0,255,60,4,1,1
50548,0,0,0,0,0,255,4,205,9,1
50549,0,0,0,0,0,255,2,136,11,1
50552,0,0,0,0,0,53,6,107,7,1
50559,0,0,0,0,0,255,3,81,14,1
50561,0,1032,0,0,0,255,10,511,511,1
50571,0,0,0,0,0,255,4,206,4,1
50572,0,0,0,0,0,255,6,9,6,1
50573,0,0,0,0,0,255,13,126,9,1
50574,0,0,0,0,0,255,22,69,22,1
50576,0,0,0,0,0,255,20,257,20,1
50579,0,0,0,0,0,255,5,110,5,1
50582,0,0,0,0,0,255,6,142,17,1
50588,0,0,0,0,0,255,22,136,22,1
50591,0,0,0,0,0,255,18,145,18,1
50592,0,0,0,0,0,255,12,282,12,1
50595,0,0,0,0,0,255,55,1,1,1
50596,0,0,0,0,0,255,1,103,1,1
50598,0,0,0,0,0,255,3,266,16,1
50599,0,0,0,0,0,255,5,268,5,1
50601,0,0,0,0,0,255,7,169,7,1
50603,0,54540,8314,0,0,33,33,4,4,1
50604,0,0,0,0,0,255,19,182,2,1
50605,0,0,0,0,0,255,17,219,5,1
50606,0,0,0,0,0,255,1,72,1,1
50609,0,0,0,0,0,255,7,259,7,1
50610,0,0,0,0,0,255,18,219,11,1
50613,0,0,0,0,0,191,56,31,17,1
50615,0,0,0,0,0,255,20,95,20,1
50618,0,0,0,0,0,255,4,123,5,1
50621,0,1032,0,0,0,255,145,509,509,1
50623,0,0,0,0,0,255,2,133,14,1
50624,0,0,0,0,0,255,9,242,1,1
50633,0,520,0,0,0,255,255,78,78,1
50641,0,0,0,0,0,255,15,138,19,1
50642,0,1032,0,0,0,255,240,511,511,1
50644,0,0,0,0,0,255,18,104,18,1
50652,0,0,0,0,0,255,21,298,21,1
50657,0,0,0,0,0,255,1,228,1,1
50661,0,0,0,0,0,255,50,41,10,1
50662,0,0,0,0,0,255,10,270,10,1
50663,0,0,0,0,0,255,4,61,4,1
50665,0,0,0,0,0,255,64,22,5,1
50669,0,0,0,0,0,255,2,299,10,1
50670,0,0,0,0,0,255,10,122,12,1
50677,0,0,0,0,0,255,2,102,2,1
50684,0,0,0,0,0,255,13,251,13,1
50685,0,0,0,0,0,255,9,276,9,1
50687,0,0,0,0,0,255,5,277,16,1
50688,0,0,0,0,0,255,18,295,18,1
50698,0,0,0,0,0,255,18,222,18,1
50700,0,1032,0,0,0,255,255,284,284,1
50704,0,0,0,0,0,255,4,137,4,1
50709,0,0,0,0,0,255,4,201,1,1
50710,0,0,0,0,0,255,17,87,4,1
50713,0,0,0,0,0,255,17,189,9,1
50714,0,0,0,0,0,255,3,139,3,1
50715,0,0,0,0,0,255,3,231,3,1
50717,0,0,0,0,0,255,16,251,16,1
50720,0,0,0,0,0,255,6,298,18,1
50721,0,0,0,0,0,255,20,125,20,1
50729,0,54540,8314,0,0,255,255,4,4,1
50731,0,0,0,0,0,255,4,148,20,1
50732,0,0,0,0,0,255,63,34,11,1
50734,0,0,0,0,0,255,9,294,16,1
50735,0,0,0,0,0,255,3,76,19,1
50736,0,0,0,0,0,255,13,261,13,1
50737,0,0,0,0,0,255,5,135,6,1
50738,0,0,0,0,0,255,17,143,11,1
50739,0,0,0,0,0,255,25,294,25,1
50747,0,0,0,0,0,255,17,216,17,1
50750,0,0,0,0,0,255,5,274,3,1
50753,0,1032,0,0,0,255,148,148,148,1
50754,0,0,0,0,0,255,17,178,4,1
50757,0,0,0,0,0,255,7,109,15,1
50758,0,0,0,0,0,255,10,145,17,1
50762,0,0,0,0,0,255,12,114,12,1
50766,0,0,0,0,0,255,13,225,13,1
50771,0,0,0,0,0,255,5,138,16,1
50773,0,0,0,0,0,222,13,72,13,1
50780,0,0,0,0,0,255,6,136,1,1
50781,0,1032,0,0,0,255,255,303,303,1
50788,0,0,0,0,0,255,18,279,18,1
50793,0,0,0,0,0,255,18,274,18,1
50795,0,0,0,0,0,255,10,24,10,1
50797,0,0,0,0,0,255,5,289,1,1
50802,0,0,0,0,0,255,13,300,20,1
50805,0,0,0,0,0,255,14,146,13,1
50808,0,0,0,0,0,255,4,123,4,1
50813,0,0,0,0,0,255,13,32,13,1
50816,0,0,0,0,0,255,10,150,10,1
50818,0,0,0,0,0,255,16,135,16,1
50819,0,0,0,0,0,255,11,146,5,1
50821,0,0,0,0,0,255,1,127,18,1
50824,0,0,0,0,0,255,20,250,20,1
50825,0,0,0,0,0,255,12,222,12,1
50826,0,0,0,0,0,255,8,298,8,1
50829,0,0,0,0,0,255,4,157,20,1
50831,0,0,0,0,0,255,21,117,21,1
50834,0,0,0,0,0,255,7,206,7,1
50835,0,0,0,0,0,255,11,257,11,1
50836,0,0,0,0,0,255,2,17,2,1
50838,0,0,0,0,0,255,9,148,9,1
50839,0,54540,8314,0,0,255,255,1,2,1
50840,0,0,0,0,0,255,16,124,3,1
50850,0,28,0,3,0,255,33,33,33,1
50852,0,0,0,0,0,255,6,145,6,1
50856,0,0,0,0,0,255,20,282,20,1
50862,0,0,0,0,0,255,14,36,15,1
50865,0,0,0,0,0,255,6,239,6,1
50868,0,0,0,0,0,255,15,122,7,1
50869,0,0,0,0,0,255,15,156,15,1
50873,0,0,0,0,0,255,64,35,12,1
50874,0,0,0,0,0,255,15,134,15,1
50877,0,520,0,0,0,255,255,18,18,1
50878,0,0,0,0,0,255,8,135,16,1
50881,0,0,0,0,0,255,4,261,4,1
50884,0,0,0,0,0,255,19,189,19,1
50886,0,0,0,0,0,255,6,228,15,1
50889,0,0,0,0,0,255,5,184,5,1
50891,0,0,0,0,0,255,24,291,24,1
50896,0,0,0,0,0,200,144,18,18,1
50898,0,0,0,0,0,169,14,113,14,1
50902,0,0,0,0,0,255,20,232,20,1
50906,0,0,0,0,0,255,1,159,1,1
50907,0,0,0,0,0,255,13,118,13,1
50909,0,1032,0,0,0,255,215,510,510,1
50912,0,0,0,0,0,255,19,184,19,1
50917,0,0,0,0,0,109,24,248,24,1
50920,0,0,0,0,0,255,12,264,12,1
50924,0,0,0,0,0,255,18,292,18,1
50925,0,0,0,0,0,255,3,121,3,1
50926,0,0,0,0,0,255,2,106,2,1
50928,0,0,0,0,0,255,5,257,5,1
50931,0,0,0,0,0,255,12,132,12,1
50938,0,0,0,0,0,189,12,133,12,1
50945,0,0,0,0,0,255,17,146,17,1
50946,0,54540,8314,0,0,17,17,3,3,1
50948,0,0,0,0,0,255,9,145,9,1
50949,0,0,0,0,0,255,17,281,17,1
50950,0,0,0,0,0,255,21,137,21,1
50952,0,0,0,0,0,255,69,33,11,1
50954,0,0,0,0,0,255,10,265,15,1
50964,0,0,0,0,0,123,6,120,20,1
50965,0,0,0,0,0,108,128,6,6,1
50967,0,0,0,0,0,255,13,241,13,1
50968,0,0,0,0,0,255,59,7,4,1
50974,0,0,0,0,0,255,20,134,19,1
50975,0,0,0,0,0,255,12,141,12,1
50979,0,0,0,0,0,255,1,282,20,1
50980,0,0,0,0,0,255,11,154,11,1
50982,0,0,0,0,0,255,14,228,14,1
50984,0,0,0,0,0,255,8,243,2,1
50986,0,0,0,0,0,34,18,138,9,1
50995,0,0,0,0,0,255,39,43,12,1
50997,0,0,0,0,0,255,6,264,14,1
50998,0,0,0,0,0,255,9,215,9,1
50999,0,0,0,0,0,255,18,125,19,1
51003,0,0,0,0,0,255,19,155,11,1
51004,0,0,0,0,0,255,4,300,5,1
51006,0,1032,0,0,0,255,197,197,197,1
51009,0,0,0,0,0,255,65,55,14,1
51010,0,0,0,0,0,255,2,239,1,1
51011,0,0,0,0,0,255,42,20,5,1
51013,0,0,0,0,0,255,7,272,7,1
51016,0,0,0,0,0,255,18,70,5,1
51019,0,0,0,0,0,255,9,276,9,1
51021,0,0,0,0,0,255,3,93,1,1
51022,0,0,0,0,0,255,32,110,19,1
51028,0,0,0,0,0,134,2,131,2,1
51032,0,0,0,0,0,255,9,260,9,1
51037,0,0,0,0,0,255,23,274,23,1
51040,0,0,0,0,0,255,21,145,21,1
51041,0,0,0,0,0,255,11,262,11,1
51044,0,0,0,0,0,205,1,247,1,1
51047,0,0,0,0,0,255,18,287,16,1
51048,0,0,0,0,0,255,2,16,2,1
51049,0,1032,0,0,0,255,24,511,511,1
51057,0,0,0,0,0,255,17,141,17,1
51060,0,0,0,0,0,255,57,5,3,1
51063,0,0,0,0,0,255,12,102,20,1
51074,0,0,0,0,0,255,7,93,8,1
51075,0,0,0,0,0,255,20,149,20,1
51076,0,0,0,0,0,255,19,209,19,1
51080,0,0,0,0,0,255,7,136,20,1
51081,0,0,0,0,0,255,1,150,5,1
51083,0,0,0,0,0,255,2,251,12,1
51084,0,0,0,0,0,255,67,13,7,1
51086,0,0,0,0,0,255,3,149,20,1
51087,0,0,0,0,0,255,24,293,24,1
51088,0,1032,0,0,0,255,255,431,431,1
51090,0,0,0,0,0,255,7,52,7,1
51091,0,0,0,0,0,255,14,134,7,1
51099,0,0,0,0,0,255,13,225,13,1
51100,0,0,0,0,0,255,2,211,2,1
51104,0,0,0,0,0,255,19,275,19,1
51105,0,0,0,0,0,255,15,202,14,1
51113,0,520,0,0,0,117,117,478,478,1
51114,0,0,0,0,0,255,1,186,1,1
51117,0,0,0,0,0,255,9,225,9,1
51127,0,0,0,0,0,255,13,81,8,1
51129,0,0,0,0,0,255,6,97,3,1
51133,0,0,0,0,0,255,18,248,3,1
51134,0,0,0,0,0,255,66,64,13,1
51136,0,0,0,0,0,255,5,278,5,1
51140,0,0,0,0,0,255,10,275,10,1
51142,8,54540,8314,0,0,25,25,4,4,1
51144,0,1032,0,0,0,251,106,511,511,1
51149,0,0,0,0,0,255,6,100,1,1
51153,0,0,0,0,0,255,17,108,17,1
51161,0,0,0,0,0,255,16,146,14,1
51162,0,0,0,0,0,255,3,103,3,1
51164,0,0,0,0,0,108,4,110,4,1
51167,0,0,0,0,0,255,54,20,2,1
51171,0,0,0,0,0,255,10,287,11,1
51176,0,1032,0,0,0,255,194,511,511,1
51183,0,0,0,0,0,255,19,208,12,1
51185,0,0,0,0,0,144,19,203,19,1
51190,0,0,0,0,0,255,18,141,18,1
51194,0,0,0,0,0,255,5,270,5,1
51195,0,0,0,0,0,255,31,119,10,1
51196,0,0,0,0,0,255,18,242,2,1
51199,0,0,0,0,0,255,19,271,17,1
51201,0,0,0,0,0,255,4,126,4,1
51209,0,0,0,0,0,255,18,110,1,1
51217,0,0,0,0,0,255,12,272,12,1
51218,0,520,0,0,0,77,77,481,481,1
51219,0,0,0,0,0,255,9,292,7,1
51220,0,0,0,0,0,255,6,79,15,1
51230,0,0,0,0,0,255,4,258,4,1
51232,0,0,0,0,0,255,10,254,10,1
51236,0,0,0,0,0,255,15,142,15,1
51239,0,0,0,0,0,255,12,299,20,1
51240,0,0,0,0,0,255,1,243,1,1
51241,0,0,0,0,0,255,20,250,10,1
51243,0,0,0,0,0,255,3,201,3,1
51251,0,1032,0,0,0,255,53,511,511,1
51254,0,0,0,0,0,255,3,128,3,1
51258,0,0,0,0,0,255,19,276,19,1
51259,0,0,0,0,0,255,1,186,1,1
51264,0,0,0,0,0,255,20,203,3,1
51266,0,0,0,0,0,90,20,140,20,1
51267,0,0,0,0,0,255,13,36,12,1
51269,0,0,0,0,0,255,14,69,2,1
51275,0,0,0,0,0,255,19,278,19,1
51278,0,0,0,0,0,255,14,209,14,1
51279,0,0,0,0,0,255,16,280,15,1
51280,0,0,0,0,0,255,14,128,14,1
51281,0,0,0,0,0,91,25,9,2,1
51283,0,0,0,0,0,204,6,95,6,1
51285,0,0,0,0,0,255,17,278,6,1
51287,0,0,0,0,0,255,23,287,23,1
51293,0,0,0,0,0,255,1,202,1,1
51295,0,0,0,0,0,255,3,226,3,1
51298,0,0,0,0,0,255,19,214,19,1
51299,0,0,0,0,0,255,1,245,1,1
51301,0,0,0,0,0,255,8,252,8,1
51302,0,0,0,0,0,255,13,19,4,1
51303,0,0,0,0,0,255,4,269,2,1
51304,0,0,0,0,0,255,20,267,9,1
51305,0,0,0,0,0,255,15,265,15,1
51311,0,0,0,0,0,255,1,197,1,1
51314,0,0,0,0,0,255,18,270,18,1
51315,0,0,0,0,0,255,9,288,9,1
51317,0,0,0,0,0,255,4,249,10,1
51319,0,1032,0,0,0,255,255,7,7,1
51324,0,0,0,0,0,255,2,191,2,1
51325,0,0,0,0,0,255,7,231,17,1
51329,0,0,0,0,0,255,30,128,16,1
51330,0,0,0,0,0,255,7,196,7,1
51331,0,0,0,0,0,255,8,147,8,1
51332,0,0,0,0,0,255,67,40,11,1
51335,0,0,0,0,0,255,7,257,7,1
51336,0,0,0,0,0,144,12,119,12,1
51338,0,0,0,0,0,255,13,32,13,1
51340,0,520,0,0,0,255,255,387,387,1
51342,0,0,0,0,0,255,13,248,13,1
51349,0,0,0,0,0,232,16,105,5,1
51350,0,1032,0,0,0,255,137,511,511,1
51351,0,0,0,0,0,255,5,22,4,1
51354,0,0,0,0,0,255,1,74,17,1
51356,0,0,0,0,0,255,6,144,6,1
51360,0,0,0,0,0,255,19,144,19,1
51364,0,0,0,0,0,255,7,256,5,1
51366,0,0,0,0,0,255,12,108,8,1
51370,0,1032,0,0,0,255,223,223,223,1
51371,0,0,0,0,0,255,17,183,3,1
51373,0,0,0,0,0,255,20,297,20,1
51375,0,0,0,0,0,255,10,184,10,1
51378,0,0,0,0,0,255,3,261,3,1
51383,0,0,0,0,0,255,2,256,1,1
51386,0,0,0,0,0,255,1,141,19,1
51391,0,0,0,0,0,255,2,192,2,1
51392,0,0,0,0,0,77,4,132,4,1
51394,0,0,0,0,0,255,1,247,1,1
51397,0,1032,0,0,0,255,207,503,503,1
51399,0,0,0,0,0,255,2,115,2,1
51402,0,0,0,0,0,255,19,116,17,1
51403,0,0,0,0,0,255,1,150,1,1
51404,0,0,0,0,0,255,3,272,3,1
51407,0,0,0,0,0,255,1,115,1,1
51413,0,0,0,0,0,255,1,287,5,1
51416,0,0,0,0,0,255,10,160,10,1
51419,0,0,0,0,0,255,13,172,13,1
51423,0,0,0,0,0,255,10,136,10,1
51424,0,0,0,0,0,255,3,77,16,1
51427,0,0,0,0,0,255,20,227,18,1
51430,0,0,0,0,0,255,17,237,17,1
51434,0,0,0,0,0,255,3,7,3,1
51435,0,0,0,0,0,255,21,250,21,1
51436,0,0,0,0,0,255,10,115,10,1
51439,0,54540,8314,0,0,34,34,3,3,1
51440,0,1032,0,0,0,173,28,511,511,1
51444,0,0,0,0,0,255,2,130,3,1
51455,0,0,0,0,0,152,20,127,20,1
51461,0,0,0,0,0,255,7,217,1,1
51463,0,1032,0,0,0,255,27,27,27,1
51466,0,0,0,0,0,255,3,208,3,1
51468,0,0,0,0,0,255,14,256,6,1
51471,0,0,0,0,0,255,9,244,9,1
51474,0,1032,0,0,0,255,110,511,511,1
51477,0,0,0,0,0,255,13,197,13,1
51482,0,0,0,0,0,255,15,56,7,1
51484,0,0,0,0,0,255,7,130,7,1
51485,0,0,0,0,0,255,1,97,1,1
51486,0,0,0,0,0,255,7,123,8,1
51487,0,0,0,0,0,255,20,299,20,1
51489,0,0,0,0,0,255,11,260,6,1
51491,0,0,0,0,0,255,14,127,17,1
51492,0,0,0,0,0,255,14,238,14,1
51503,0,0,0,0,0,255,56,33,6,1
51504,0,0,0,0,0,255,14,279,14,1
51506,0,0,0,0,0,255,18,142,18,1
51507,0,0,0,0,0,255,6,231,6,1
51508,0,520,0,0,0,255,255,13,13,1
51509,0,0,0,0,0,255,64,69,16,1
51510,0,0,0,0,0,255,19,262,19,1
51511,0,0,0,0,0,255,4,264,4,1
51512,0,0,0,0,0,255,6,217,6,1
51513,0,0,0,0,0,255,18,253,18,1
51515,0,0,0,0,0,255,3,132,3,1
51518,0,0,0,0,0,45,6,18,5,1
51519,0,1032,0,0,0,255,217,511,511,1
51520,0,0,0,0,0,255,9,143,11,1
51524,0,0,0,0,0,255,1,247,1,1
51525,0,0,0,0,0,255,11,109,13,1
51526,0,0,0,0,0,255,1,115,1,1
51527,0,0,0,0,0,255,19,277,19,1
51530,0,0,0,0,0,255,22,83,22,1
51531,0,520,0,0,0,180,180,436,436,1
51533,0,0,0,0,0,255,5,6,5,1
51536,0,0,0,0,0,255,60,56,15,1
51537,0,0,0,0,0,255,23,265,23,1
51538,0,0,0,0,0,255,19,213,2,1
51539,0,0,0,0,0,255,13,158,13,1
51540,0,0,0,0,0,255,17,145,17,1
51545,0,0,0,0,0,255,65,78,18,1
51548,0,0,0,0,0,255,15,289,44,1
51549,0,28,0,3,0,255,85,185,85,1
51550,0,0,0,0,0,255,5,203,5,1
51552,0,0,0,0,0,255,17,281,4,1
51554,0,520,0,0,0,255,255,236,236,1
51557,0,0,0,0,0,243,11,119,11,1
51558,0,0,0,0,0,255,10,114,10,1
51559,0,0,0,0,0,255,17,135,17,1
